Name,Degree Centrality,Betweenness Centrality (normalized)
Pino Daniele,0.0003290556103981573,0.0
Francesco De Gregori,0.0003290556103981573,0.0
The Laurie Berkner Band,0.0,0.0
Jimi Hendrix,0.0003290556103981573,0.0
The Doors,0.0009871668311944718,0.0
Buddy Guy,0.0013162224415926291,0.000335563688538544
Taj Mahal,0.0013162224415926291,0.000447799459249677
Susan Tedeschi,0.014478446857518921,0.0051434067154252335
Tyler Ward,0.0003290556103981573,0.0
Ingrid Michaelson,0.002303389272787101,0.001460851469734532
Brandi Carlile,0.0026324448831852583,0.0013618587962212635
Sara Bareilles,0.0019743336623889436,0.0011621355175033025
The Weepies,0.0019743336623889436,3.24939707437285e-06
Amos Lee,0.0,0.0
Ben Rector,0.0003290556103981573,0.0
Mat Kearney,0.0003290556103981573,0.0
KT Tunstall,0.0003290556103981573,0.0
Gabrielle Aplin,0.0016452780519907865,0.0013365853299253656
Stephen Speaks,0.0003290556103981573,0.0
Ron Pope,0.0,0.0
Five For Fighting,0.0003290556103981573,0.0
Howie Day,0.0036196117143797303,0.0033473364824470665
Matt Nathanson,0.0003290556103981573,0.0
Jason Mraz,0.0019743336623889436,0.0010665387426784215
Frank Turner,0.0003290556103981573,0.0
Eddie Vedder,0.005593945376768674,0.003542320770312574
Thalles Roberto,0.0013162224415926291,0.0006687259179059326
Fernandinho,0.0019743336623889436,0.00200227847722855
Eli Soares,0.0013162224415926291,1.29975882974914e-06
Glenn Frey,0.007568279039157618,0.004524295104075367
Seals and Crofts,0.0009871668311944718,0.0
Chicago,0.0019743336623889436,0.0002536003990175357
Glen Campbell,0.0009871668311944718,0.0
Buddy Holly,0.0006581112207963146,0.0003344712721887787
Leo Sayer,0.0006581112207963146,3.5694188822848e-05
Petula Clark,0.0,0.0
Lobo,0.0006581112207963146,7.161439052126733e-06
Cliff Richard,0.0019743336623889436,0.0002852686071958446
The Everly Brothers,0.0006581112207963146,0.0
The Righteous Brothers,0.0006581112207963146,0.0
Neil Sedaka,0.0,0.0
Roy Orbison,0.0006581112207963146,0.0
Frankie Valli,0.0013162224415926291,2.8638019548806048e-05
The Drifters,0.0006581112207963146,0.0
Paul Anka,0.0016452780519907865,0.0003463602011974895
Carly Simon,0.0006581112207963146,7.161439052126733e-06
Neil Diamond,0.0003290556103981573,0.0
Carole King,0.0006581112207963146,0.0
Dionne Warwick,0.0029615004935834156,0.0007881502160982127
The Platters,0.0,0.0
Dion,0.0013162224415926291,0.0012449873391600674
Brenda Lee,0.0009871668311944718,4.742005041599453e-05
Connie Francis,0.0,0.0
Donny Osmond,0.0009871668311944718,0.00035463794031641803
Barry Manilow,0.0013162224415926291,0.00041228989443144057
Andy Gibb,0.02073050345508391,0.009135150610941967
Anne Murray,0.0009871668311944718,0.0
Kenny Rogers,0.0026324448831852583,0.001241231354055976
Linda Ronstadt,0.0016452780519907865,0.0003344712721887787
Don McLean,0.0003290556103981573,0.0
Roberta Flack,0.0009871668311944718,0.0013352855710956164
Vanessa Williams,0.0013162224415926291,0.0006170322339327015
Stephen Bishop,0.0009871668311944718,0.00010346089781497519
Barbra Streisand,0.0029615004935834156,0.0021578421663217564
George Benson,0.0019743336623889436,0.00034288598038031813
Lionel Richie,0.0036196117143797303,0.0013464364409646516
Carpenters,0.0013162224415926291,0.0
Sheena Easton,0.0003290556103981573,0.0
Bette Midler,0.0006581112207963146,0.00024588929339148673
