source,target,sum,weight
00TKPo9MxwZ0j4ooveIxWZ,5Lhxlge1CR1DrgDAje8Qaw,00TKPo9MxwZ0j4ooveIxWZ5Lhxlge1CR1DrgDAje8Qaw,2.0
02uYdhMhCgdB49hZlYRm9o,6LqNN22kT3074XbTVUrhzX,02uYdhMhCgdB49hZlYRm9o6LqNN22kT3074XbTVUrhzX,14.0
0543y7yrvny4KymoaneT4W,1W42coQfIlt6btgqpfJWYQ,0543y7yrvny4KymoaneT4W1W42coQfIlt6btgqpfJWYQ,26.0
0543y7yrvny4KymoaneT4W,6c3mMiMnHQtu4mGWN87CFx,0543y7yrvny4KymoaneT4W6c3mMiMnHQtu4mGWN87CFx,26.0
059ysTnWcrm4yFwTr0NDjc,1bZNv4q3OxYq7mmnLha7Tu,059ysTnWcrm4yFwTr0NDjc1bZNv4q3OxYq7mmnLha7Tu,6.0
059ysTnWcrm4yFwTr0NDjc,1SykQGBiBwkQ1fcGpJ1BJt,059ysTnWcrm4yFwTr0NDjc1SykQGBiBwkQ1fcGpJ1BJt,2.0
059ysTnWcrm4yFwTr0NDjc,30fEdZPXgWfC4sNttcyB3C,059ysTnWcrm4yFwTr0NDjc30fEdZPXgWfC4sNttcyB3C,3.0
059ysTnWcrm4yFwTr0NDjc,4TK1gDgb7QKoPFlzRrBRgR,059ysTnWcrm4yFwTr0NDjc4TK1gDgb7QKoPFlzRrBRgR,5.0
059ysTnWcrm4yFwTr0NDjc,5R3NywPPOyhLfdvutgg0me,059ysTnWcrm4yFwTr0NDjc5R3NywPPOyhLfdvutgg0me,3.0
059ysTnWcrm4yFwTr0NDjc,6MxyNXnnmwQwdW2PD0gXYO,059ysTnWcrm4yFwTr0NDjc6MxyNXnnmwQwdW2PD0gXYO,7.0
059ysTnWcrm4yFwTr0NDjc,6nVcjUJemqpJjc1WevwTvL,059ysTnWcrm4yFwTr0NDjc6nVcjUJemqpJjc1WevwTvL,4.0
059ysTnWcrm4yFwTr0NDjc,7FnZWGw9lwOr7WzieTKEPR,059ysTnWcrm4yFwTr0NDjc7FnZWGw9lwOr7WzieTKEPR,2.0
070kGpqtESdDsLb3gdMIyx,0BvkDsjIUla7X0k6CSWh1I,070kGpqtESdDsLb3gdMIyx0BvkDsjIUla7X0k6CSWh1I,11.0
070kGpqtESdDsLb3gdMIyx,1By9QBFnjZAoI83BZppHlt,070kGpqtESdDsLb3gdMIyx1By9QBFnjZAoI83BZppHlt,8.0
070kGpqtESdDsLb3gdMIyx,2BQVRw9md4UKcGUrDXABCD,070kGpqtESdDsLb3gdMIyx2BQVRw9md4UKcGUrDXABCD,11.0
070kGpqtESdDsLb3gdMIyx,2hJPr4lk7Q8SSvCVBl9fWM,070kGpqtESdDsLb3gdMIyx2hJPr4lk7Q8SSvCVBl9fWM,5.0
070kGpqtESdDsLb3gdMIyx,2IvkS5MXK0vPGnwyJsrEyV,070kGpqtESdDsLb3gdMIyx2IvkS5MXK0vPGnwyJsrEyV,4.0
070kGpqtESdDsLb3gdMIyx,2kucQ9jQwuD8jWdtR9Ef38,070kGpqtESdDsLb3gdMIyx2kucQ9jQwuD8jWdtR9Ef38,6.0
070kGpqtESdDsLb3gdMIyx,32WkQRZEVKSzVAAYqukAEA,070kGpqtESdDsLb3gdMIyx32WkQRZEVKSzVAAYqukAEA,7.0
070kGpqtESdDsLb3gdMIyx,39NR3AUhpbbqKM33vWn2fp,070kGpqtESdDsLb3gdMIyx39NR3AUhpbbqKM33vWn2fp,4.0
070kGpqtESdDsLb3gdMIyx,3b8QkneNDz4JHKKKlLgYZg,070kGpqtESdDsLb3gdMIyx3b8QkneNDz4JHKKKlLgYZg,2.0
070kGpqtESdDsLb3gdMIyx,3CygdxquGHurS7f9LjNLkv,070kGpqtESdDsLb3gdMIyx3CygdxquGHurS7f9LjNLkv,6.0
070kGpqtESdDsLb3gdMIyx,4MoAOfV4ROWofLG3a3hhBN,070kGpqtESdDsLb3gdMIyx4MoAOfV4ROWofLG3a3hhBN,5.0
070kGpqtESdDsLb3gdMIyx,4xFUf1FHVy696Q1JQZMTRj,070kGpqtESdDsLb3gdMIyx4xFUf1FHVy696Q1JQZMTRj,4.0
070kGpqtESdDsLb3gdMIyx,4YLtscXsxbVgi031ovDDdh,070kGpqtESdDsLb3gdMIyx4YLtscXsxbVgi031ovDDdh,2.0
070kGpqtESdDsLb3gdMIyx,5vngPClqofybhPERIqQMYd,070kGpqtESdDsLb3gdMIyx5vngPClqofybhPERIqQMYd,3.0
070kGpqtESdDsLb3gdMIyx,6roFdX1y5BYSbp60OTJWMd,070kGpqtESdDsLb3gdMIyx6roFdX1y5BYSbp60OTJWMd,2.0
070kGpqtESdDsLb3gdMIyx,6x2LnllRG5uGarZMsD4iO8,070kGpqtESdDsLb3gdMIyx6x2LnllRG5uGarZMsD4iO8,3.0
070kGpqtESdDsLb3gdMIyx,70kkdajctXSbqSMJbQO424,070kGpqtESdDsLb3gdMIyx70kkdajctXSbqSMJbQO424,4.0
070kGpqtESdDsLb3gdMIyx,7FY5V3XMwlNBPitEjXowHQ,070kGpqtESdDsLb3gdMIyx7FY5V3XMwlNBPitEjXowHQ,7.0
070kGpqtESdDsLb3gdMIyx,7vCtweS8UVAXTyau2j0rDT,070kGpqtESdDsLb3gdMIyx7vCtweS8UVAXTyau2j0rDT,5.0
070kGpqtESdDsLb3gdMIyx,7x8nK0m0cP2ksQf0mjWdPS,070kGpqtESdDsLb3gdMIyx7x8nK0m0cP2ksQf0mjWdPS,8.0
0AD4odMWVQ2wUSlgxOB5Rl,30TrHDLNCKQVTYWOn9QqOC,0AD4odMWVQ2wUSlgxOB5Rl30TrHDLNCKQVTYWOn9QqOC,2.0
0AD4odMWVQ2wUSlgxOB5Rl,6PAt558ZEZl0DmdXlnjMgD,0AD4odMWVQ2wUSlgxOB5Rl6PAt558ZEZl0DmdXlnjMgD,2.0
0AD4odMWVQ2wUSlgxOB5Rl,6Xb4ezwoAQC4516kI89nWz,0AD4odMWVQ2wUSlgxOB5Rl6Xb4ezwoAQC4516kI89nWz,2.0
0AD4odMWVQ2wUSlgxOB5Rl,7bvcQXJHkFiN1ppIN3q4fi,0AD4odMWVQ2wUSlgxOB5Rl7bvcQXJHkFiN1ppIN3q4fi,3.0
0AvtzKTYleNqdJXoZasQWG,4we5S2VLjgY9KzIzApL1KI,0AvtzKTYleNqdJXoZasQWG4we5S2VLjgY9KzIzApL1KI,2.0
0C0XlULifJtAgn6ZNCW2eu,1r1uxoy19fzMxunt3ONAkG,0C0XlULifJtAgn6ZNCW2eu1r1uxoy19fzMxunt3ONAkG,3.0
0C0XlULifJtAgn6ZNCW2eu,1WrqUPWlHN5FXCRcQgrkas,0C0XlULifJtAgn6ZNCW2eu1WrqUPWlHN5FXCRcQgrkas,3.0
0C0XlULifJtAgn6ZNCW2eu,3Uqu1mEdkUJxPe7s31n1M9,0C0XlULifJtAgn6ZNCW2eu3Uqu1mEdkUJxPe7s31n1M9,2.0
0C0XlULifJtAgn6ZNCW2eu,6MDME20pz9RveH9rEXvrOM,0C0XlULifJtAgn6ZNCW2eu6MDME20pz9RveH9rEXvrOM,2.0
0CEFCo8288kQU7mJi25s6E,19k8AgwwTSxeaxkOuCQEJs,0CEFCo8288kQU7mJi25s6E19k8AgwwTSxeaxkOuCQEJs,2.0
0CEFCo8288kQU7mJi25s6E,4RddZ3iHvSpGV4dvATac9X,0CEFCo8288kQU7mJi25s6E4RddZ3iHvSpGV4dvATac9X,2.0
0cQbJU1aAzvbEmTuljWLlF,07QEuhtrNmmZ0zEcqE9SF6,0cQbJU1aAzvbEmTuljWLlF07QEuhtrNmmZ0zEcqE9SF6,2.0
0cQbJU1aAzvbEmTuljWLlF,0djV4iaxhNfYWpH60ia85o,0cQbJU1aAzvbEmTuljWLlF0djV4iaxhNfYWpH60ia85o,2.0
0cQbJU1aAzvbEmTuljWLlF,0TcYeHEK9sBtv7xPbKhzHz,0cQbJU1aAzvbEmTuljWLlF0TcYeHEK9sBtv7xPbKhzHz,2.0
0cQbJU1aAzvbEmTuljWLlF,0TnOYISbd1XYRBk9myaseg,0cQbJU1aAzvbEmTuljWLlF0TnOYISbd1XYRBk9myaseg,2.0
0cQbJU1aAzvbEmTuljWLlF,0X2BH1fck6amBIoJhDVmmJ,0cQbJU1aAzvbEmTuljWLlF0X2BH1fck6amBIoJhDVmmJ,5.0
0cQbJU1aAzvbEmTuljWLlF,1bT7m67vi78r2oqvxrP3X5,0cQbJU1aAzvbEmTuljWLlF1bT7m67vi78r2oqvxrP3X5,2.0
0cQbJU1aAzvbEmTuljWLlF,1h6Cn3P4NGzXbaXidqURXs,0cQbJU1aAzvbEmTuljWLlF1h6Cn3P4NGzXbaXidqURXs,2.0
0cQbJU1aAzvbEmTuljWLlF,1HY2Jd0NmPuamShAr6KMms,0cQbJU1aAzvbEmTuljWLlF1HY2Jd0NmPuamShAr6KMms,4.0
0cQbJU1aAzvbEmTuljWLlF,1l7ZsJRRS8wlW3WfJfPfNS,0cQbJU1aAzvbEmTuljWLlF1l7ZsJRRS8wlW3WfJfPfNS,3.0
0cQbJU1aAzvbEmTuljWLlF,1uNFoZAHBGtllmzznpCI3s,0cQbJU1aAzvbEmTuljWLlF1uNFoZAHBGtllmzznpCI3s,7.0
0cQbJU1aAzvbEmTuljWLlF,1vCWHaC5f2uS3yhpwWbIA6,0cQbJU1aAzvbEmTuljWLlF1vCWHaC5f2uS3yhpwWbIA6,5.0
0cQbJU1aAzvbEmTuljWLlF,1Xyo4u8uXC1ZmMpatF05PJ,0cQbJU1aAzvbEmTuljWLlF1Xyo4u8uXC1ZmMpatF05PJ,2.0
0cQbJU1aAzvbEmTuljWLlF,1yxSLGMDHlW21z4YXirZDS,0cQbJU1aAzvbEmTuljWLlF1yxSLGMDHlW21z4YXirZDS,4.0
0cQbJU1aAzvbEmTuljWLlF,2auikkNYqigWStoHWK1Grq,0cQbJU1aAzvbEmTuljWLlF2auikkNYqigWStoHWK1Grq,2.0
0cQbJU1aAzvbEmTuljWLlF,2DlGxzQSjYe5N6G9nkYghR,0cQbJU1aAzvbEmTuljWLlF2DlGxzQSjYe5N6G9nkYghR,2.0
0cQbJU1aAzvbEmTuljWLlF,2gsggkzM5R49q6jpPvazou,0cQbJU1aAzvbEmTuljWLlF2gsggkzM5R49q6jpPvazou,2.0
0cQbJU1aAzvbEmTuljWLlF,2jw70GZXlAI8QzWeY2bgRc,0cQbJU1aAzvbEmTuljWLlF2jw70GZXlAI8QzWeY2bgRc,2.0
0cQbJU1aAzvbEmTuljWLlF,2KsP6tYLJlTBvSUxnwlVWa,0cQbJU1aAzvbEmTuljWLlF2KsP6tYLJlTBvSUxnwlVWa,2.0
0cQbJU1aAzvbEmTuljWLlF,2wY79sveU1sp5g7SokKOiI,0cQbJU1aAzvbEmTuljWLlF2wY79sveU1sp5g7SokKOiI,2.0
0cQbJU1aAzvbEmTuljWLlF,4bL2B6hmLlMWnUEZnorEtG,0cQbJU1aAzvbEmTuljWLlF4bL2B6hmLlMWnUEZnorEtG,2.0
0cQbJU1aAzvbEmTuljWLlF,4NHQUGzhtTLFvgF5SZesLK,0cQbJU1aAzvbEmTuljWLlF4NHQUGzhtTLFvgF5SZesLK,2.0
0cQbJU1aAzvbEmTuljWLlF,4RfTXjK9aiiIKDaKUHpL57,0cQbJU1aAzvbEmTuljWLlF4RfTXjK9aiiIKDaKUHpL57,3.0
0cQbJU1aAzvbEmTuljWLlF,4V8Sr092TqfHkfAA5fXXqG,0cQbJU1aAzvbEmTuljWLlF4V8Sr092TqfHkfAA5fXXqG,3.0
0cQbJU1aAzvbEmTuljWLlF,4VMYDCV2IEDYJArk749S6m,0cQbJU1aAzvbEmTuljWLlF4VMYDCV2IEDYJArk749S6m,2.0
0cQbJU1aAzvbEmTuljWLlF,4yiQZ8tQPux8cPriYMWUFP,0cQbJU1aAzvbEmTuljWLlF4yiQZ8tQPux8cPriYMWUFP,2.0
0cQbJU1aAzvbEmTuljWLlF,53XhwfbYqKCa1cC15pYq2q,0cQbJU1aAzvbEmTuljWLlF53XhwfbYqKCa1cC15pYq2q,2.0
0cQbJU1aAzvbEmTuljWLlF,5iNrZmtVMtYev5M9yoWpEq,0cQbJU1aAzvbEmTuljWLlF5iNrZmtVMtYev5M9yoWpEq,2.0
0cQbJU1aAzvbEmTuljWLlF,5jAMCwdNHWr7JThxtMuEyy,0cQbJU1aAzvbEmTuljWLlF5jAMCwdNHWr7JThxtMuEyy,2.0
0cQbJU1aAzvbEmTuljWLlF,5Pwc4xIPtQLFEnJriah9YJ,0cQbJU1aAzvbEmTuljWLlF5Pwc4xIPtQLFEnJriah9YJ,6.0
0cQbJU1aAzvbEmTuljWLlF,5qQFXHDOeYjiZVrCUO56Pk,0cQbJU1aAzvbEmTuljWLlF5qQFXHDOeYjiZVrCUO56Pk,2.0
0cQbJU1aAzvbEmTuljWLlF,6jJ0s89eD6GaHleKKya26X,0cQbJU1aAzvbEmTuljWLlF6jJ0s89eD6GaHleKKya26X,2.0
0cQbJU1aAzvbEmTuljWLlF,6nS5roXSAGhTGr34W6n7Et,0cQbJU1aAzvbEmTuljWLlF6nS5roXSAGhTGr34W6n7Et,2.0
0cQbJU1aAzvbEmTuljWLlF,6sFIWsNpZYqfjUpaCgueju,0cQbJU1aAzvbEmTuljWLlF6sFIWsNpZYqfjUpaCgueju,3.0
0cQbJU1aAzvbEmTuljWLlF,6T5tfhQCknKG4UnH90qGnz,0cQbJU1aAzvbEmTuljWLlF6T5tfhQCknKG4UnH90qGnz,2.0
0cQbJU1aAzvbEmTuljWLlF,6UuT0BJZ9vF8Y1sxXnJl2s,0cQbJU1aAzvbEmTuljWLlF6UuT0BJZ9vF8Y1sxXnJl2s,2.0
0cQbJU1aAzvbEmTuljWLlF,6wPhSqRtPu1UhRCDX5yaDJ,0cQbJU1aAzvbEmTuljWLlF6wPhSqRtPu1UhRCDX5yaDJ,2.0
0cQbJU1aAzvbEmTuljWLlF,738wLrAtLtCtFOLvQBXOXp,0cQbJU1aAzvbEmTuljWLlF738wLrAtLtCtFOLvQBXOXp,4.0
0cQbJU1aAzvbEmTuljWLlF,7EQ0qTo7fWT7DPxmxtSYEc,0cQbJU1aAzvbEmTuljWLlF7EQ0qTo7fWT7DPxmxtSYEc,2.0
0cQbJU1aAzvbEmTuljWLlF,7n2wHs1TKAczGzO7Dd2rGr,0cQbJU1aAzvbEmTuljWLlF7n2wHs1TKAczGzO7Dd2rGr,3.0
0D5U7oXEE4dut2DPyUDLca,2Eo4Yaukt9d6dnZrY5hQKi,0D5U7oXEE4dut2DPyUDLca2Eo4Yaukt9d6dnZrY5hQKi,2.0
0D5U7oXEE4dut2DPyUDLca,6HTUcOExehqydqa7C3usAa,0D5U7oXEE4dut2DPyUDLca6HTUcOExehqydqa7C3usAa,2.0
0DdDnziut7wOo6cAYWVZC5,0xRXCcSX89eobfrshSVdyu,0DdDnziut7wOo6cAYWVZC50xRXCcSX89eobfrshSVdyu,3.0
0DdDnziut7wOo6cAYWVZC5,1HBjj22wzbscIZ9sEb5dyf,0DdDnziut7wOo6cAYWVZC51HBjj22wzbscIZ9sEb5dyf,3.0
0DdDnziut7wOo6cAYWVZC5,1ocnIbhFWM9bSPrd7Hu4zF,0DdDnziut7wOo6cAYWVZC51ocnIbhFWM9bSPrd7Hu4zF,2.0
0DdDnziut7wOo6cAYWVZC5,39B7ChWwrWDs7zXlsu3MoP,0DdDnziut7wOo6cAYWVZC539B7ChWwrWDs7zXlsu3MoP,4.0
0dEvJpkqhrcn64d3oI8v79,4NgNsOXSwIzXlUIJcpnNUp,0dEvJpkqhrcn64d3oI8v794NgNsOXSwIzXlUIJcpnNUp,3.0
0dlOr0VIysztGWvU1dpjmP,1T0wRBO0CK0vK8ouUMqEl5,0dlOr0VIysztGWvU1dpjmP1T0wRBO0CK0vK8ouUMqEl5,19.0
0Dy32zfSrQ332Bz8wsthKJ,03Yb3iBy9GCifXiATEFcit,0Dy32zfSrQ332Bz8wsthKJ03Yb3iBy9GCifXiATEFcit,2.0
0Dy32zfSrQ332Bz8wsthKJ,235Vf4hkmwvxjVEMuCbRxm,0Dy32zfSrQ332Bz8wsthKJ235Vf4hkmwvxjVEMuCbRxm,2.0
0ekbDNE2eOq8QiaXM34wer,0hEurMDQu99nJRq8pTxO14,0ekbDNE2eOq8QiaXM34wer0hEurMDQu99nJRq8pTxO14,2.0
0ekbDNE2eOq8QiaXM34wer,0zOcE3mg9nS6l3yxt1Y0bK,0ekbDNE2eOq8QiaXM34wer0zOcE3mg9nS6l3yxt1Y0bK,2.0
0ekbDNE2eOq8QiaXM34wer,1l7ZsJRRS8wlW3WfJfPfNS,0ekbDNE2eOq8QiaXM34wer1l7ZsJRRS8wlW3WfJfPfNS,2.0
0ekbDNE2eOq8QiaXM34wer,21UJ7PRWb3Etgsu99f8yo8,0ekbDNE2eOq8QiaXM34wer21UJ7PRWb3Etgsu99f8yo8,2.0
0ekbDNE2eOq8QiaXM34wer,2Sqr0DXoaYABbjBo9HaMkM,0ekbDNE2eOq8QiaXM34wer2Sqr0DXoaYABbjBo9HaMkM,2.0
0ekbDNE2eOq8QiaXM34wer,360IAlyVv4PCEVjgyMZrxK,0ekbDNE2eOq8QiaXM34wer360IAlyVv4PCEVjgyMZrxK,2.0
