id,name,popularity,followers
2eFv7NVs8R6Go7msuqikeg,Pino Daniele,60,917632
2eFv7NVs8R6Go7msuqikeg,Pino Daniele,60,917632
16FJYC4FqKhZXiXIzMI4ul,Francesco De Gregori,55,733173
6T2pk5T8c4Wi61x1v84sUa,The Laurie Berkner Band,55,71317
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,69,6506279
22WZ7M8sxp5THdruNY3gXt,The Doors,72,7608590
2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,52,798630
1aTDTChWWyiJH3SEnYrdVp,Taj Mahal,50,209500
5Ws3s6lSP4Un8kQf8CrAta,Susan Tedeschi,51,183579
5Hc9oDGvStNGmnj44m8sHg,Tyler Ward,50,287968
2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,59,786714
2sG4zTOLvjKG1PSoOyf5Ej,Brandi Carlile,65,795684
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,64,1905695
6pwHWKweuoCyx3OoFaD0Q5,The Weepies,50,167464
0QrowybipCKUDnq5y10PD2,Amos Lee,58,467107
4AapPt7H6bGH4i7chTulpI,Ben Rector,58,360553
2NQEwAVHBNcI0tGMLlWwF1,Mat Kearney,51,475954
5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall,61,409229
3w6zswp5THsSKYLICUbDTZ,Gabrielle Aplin,55,673114
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,51,161554
6CmXhyslohOFRJMtPpRm4O,Ron Pope,54,248453
7FgMLbnZVrEnir95O0YujA,Five For Fighting,56,838570
0ekbDNE2eOq8QiaXM34wer,Howie Day,51,325733
4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,51,370118
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,72,7104235
27M9shmwhIjRo7WntpT9Rp,Frank Turner,53,357757
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,61,1551864
2Js5EdWOVgL2B2CbtXr5n1,Thalles Roberto,63,1770022
6iAY2AyUZLSX3PWLIAfFZY,Fernandinho,68,4738755
5zblJYkCzvB51Jh29FB07V,Eli Soares,59,828084
3vMWY1bUrmYoSoEWLiQWOZ,Glenn Frey,53,597334
6jdObwsrIjSRnBbMw6lPBj,Seals and Crofts,55,715025
3iDD7bnsjL9J4fO298r0L0,Chicago,68,3917672
59hLmB5DrdihCYtNeFeW1U,Glen Campbell,61,469836
3wYyutjgII8LJVVOLrGI0D,Buddy Holly,57,1277400
04LIHk1SobiQwt2tlupoAV,Leo Sayer,56,535135
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,50,323765
1sldhz8tzC100cRAdfnMht,Lobo,55,495754
2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,55,343760
4ACplpEqD6JIVgKrafauzs,The Everly Brothers,59,910668
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,62,584775
5N6GwJzOcOY5kv8p0NjhYL,Neil Sedaka,56,507301
0JDkhL4rjiPNEp92jAgJnS,Roy Orbison,66,1936461
3CDKmzJu6uwEGnPLLZffpD,Frankie Valli,63,276608
1FqqOl9itIUpXr4jZPIVoT,The Drifters,60,509550
7ceUfdWq2t5nbatS6ollHh,Paul Anka,61,670063
4FtSnMlCVxCswABUmdhwpm,Carly Simon,63,1105969
7mEIug7XUlQHikrFxjTWes,Neil Diamond,66,2647666
319yZVtYM9MBGqmSQnMyY6,Carole King,61,1493987
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,61,890519
6KWcxMWVNVIYbdOQyJtsSy,The Platters,59,737864
15FyiY3ChN0QRspHIQYq0W,Dion,56,197015
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,68,371180
3EY5DxGdy7x4GelivOjS2Q,Connie Francis,53,423899
5ZEAzHE2TzAwUcOj6jMIgf,Donny Osmond,53,103074
3alW3LYQS8K29z8C8NSLIX,Barry Manilow,63,1605763
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,54,713488
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,57,727259
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,68,2594593
1sXbwvCQLGZnaH0Jp2HTVc,Linda Ronstadt,61,906467
1gRNBaI4yn6wCCTvRhGWh8,Don McLean,63,942811
0W498bDDNlJIrYMKXdpLHA,Roberta Flack,62,944597
75L9s8KVrhCNtBUkZFnDFW,Vanessa Williams,50,469718
3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop,51,246287
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,63,1448449
4N8BwYTEC6XqykGvXXlmfv,George Benson,63,758271
3gMaNLQm7D9MornNILzdSl,Lionel Richie,69,3401550
1eEfMU2AhEo7XnKgL7c304,Carpenters,68,3067719
5dcOK4stT4JDkP6Dqhbz5s,Sheena Easton,55,659931
13y0kncDD4J9wxCyfKr10W,Bette Midler,55,735439
5xWPOujQqd4wXyB08slZ9Z,Peter Cetera,60,950957
6YHEMoNPbcheiWS2haGzkn,Michael Bolton,63,2040545
7Hd38PVp634oGEb9pIDs5d,Barry Gibb,51,136772
4C3uGP8vRDzxrhJxZiOjTe,Tiffany,55,399556
0JxChc2w5fwTGbXKfc4cRd,Patti Austin,51,215039
5bTTx0CRvZj1kRJwUsWWYo,James Ingram,57,598840
49iKbKGqgn8OESkW5WduX0,Peabo Bryson,59,521914
3YR92OLKlvkK5oKNekSqXe,Al Jarreau,51,377019
6urkHDoIVO1WO8vNIwcJmM,Die Antwoord,58,1678373
37ZflmHTdxkSLQuT8w9NBs,Criolo,58,1034706
2d9LRvQJnAXRijqIJDDs2K,Emicida,61,1839882
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,59,1603325
6FbDoZnMBTdhhhLuJBOOqP,Jewel,56,754912
5sQqZtsAbXAoAnvA8iN9kN,High Valley,50,146453
1Yox196W7bzVNZI7RBaPnf,Megadeth,69,5113327
3JysSUOyfVs1UQ0UaESheP,Anthrax,55,1607386
4x1nvY2FN8jxqAFA0DA02H,John Lennon,70,5815679
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,70,3935879
0543y7yrvny4KymoaneT4W,Peter Frampton,55,1230766
67ea9eGLXYMsO2eYQRui3w,The Who,67,5243868
0cQuYRSzlItquYxsQKDvVc,The Guess Who,54,691869
3v4feUQnU3VEUqFrjmtekL,Faces,54,398849
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,63,988018
2FcC4sDMXme2ziI7tGKMK8,David Gilmour,52,1812881
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,53,349218
7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,59,331089
5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry,57,579556
5gxynDEKwNDgxGJmJjZyte,Steve Winwood,57,1018578
35U9lQaRWSQISxQAB94Meo,America,67,1696681
0GByy3DcfbQwDvXGCWmzv9,Pretenders,63,1466801
4salDzkGmfycRqNUbyBphh,Styx,60,1896548
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,64,1666047
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,78,19854100
7AC976RDJzL2asmZuz7qil,Yes,59,1842199
40DqL6Tv84cKT2pH2NMs9r,Roger Waters,52,1489159
562Od3CffWedyz2BbeYWVn,Mike Oldfield,58,598445
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,59,810590
0f3EsoviYnRKTkmayI3cux,Men At Work,66,1195658
7FIoB5PHdrMZVC3q2HE5MS,George Harrison,66,2590503
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,72,4632625
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,73,7505853
2tRsMl4eGxwoNabM08Dm4I,Judas Priest,66,3916911
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,71,5229841
4gIdjgLlvgEOz7MexDZzpM,Status Quo,58,765435
0AD4odMWVQ2wUSlgxOB5Rl,Jeff Beck,54,732393
23wr9RJZg0PmYvVFyNkQ4j,Gary Moore,56,659749
4vpDg7Y7fU982Ds30zawDA,The Band,59,1074258
3JaAGmSTpJK35DqWrDUzBz,Sweet,55,445393
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,66,2925388
5bDxAyJiTYBat1YnFJhvEK,Joe Walsh,54,1230334
39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,67,2423678
59QxeZBL6k9L4oJBGSyukd,The Marshall Tucker Band,54,977084
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,71,4956303
3d2pb1dHTm8b61zAGVUVvO,Mick Jagger,50,677065
6biWAmrHyiMkX49LkycGqQ,Thin Lizzy,60,1220872
10n5lhNDoSMUHWLlnST1yw,Slade,54,404213
5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,61,2389299
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,65,2511961
485uL27bPomh29R4JmQehQ,Bob Seger,68,2289461
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,62,1542194
2iM28IgKg89v1o7BTQAVPo,Bruce Hornsby,53,391691
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp,64,1651947
0ECwFtbIWEVNwjlrfc6xoL,Eagles,75,10274062
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne,60,1304958
74ASZWbe4lXaubB36ztrGX,Bob Dylan,70,6315967
1hXjTjJzZTXDZ75AclOo6N,Sammy Hagar,50,923934
29kkCKKGXheHuoO829FxWK,Boston,65,2638802
7lzordPuZEXxwt9aoVZYmG,Billy Idol,69,1865913
3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,62,3599460
2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,70,2443837
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,67,2669298
0rvjqX7ttXeg3mTy8Xscbt,Journey,73,5290808
2cnMpRsOVqtPMfq7YiFE6K,Van Halen,71,5786013
36QJpDe2go2KgaRleHCDTp,Led Zeppelin,76,13951972
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,75,13906207
43mhFhQ4JAknA7Ik1bOZuV,Pat Benatar,63,1678064
0PFtn5NtBbbUNbU9EAmIWF,TOTO,72,2808962
