Name,Degree Centrality,Betweenness Centrality (normalized)
Rixton,0.033234616650213884,0.040848715939915146
Mazzy Star,0.023362948338269168,0.02241383391963935
Rage Against The Machine,0.022046725896676538,0.01719732921156209
Klaxons,0.016452780519907863,0.017102746989212568
Tan Bionica,0.009542612701546561,0.016469053281784073
Santana,0.009871668311944718,0.01587018683532427
Neil Young,0.018756169792694965,0.015625477726932936
Boston,0.02665350444225074,0.015450639249568984
The Ronettes,0.02566633761105627,0.013685488690394546
No Doubt,0.01349128002632445,0.012991400211680179
