id,name,popularity,followers
5kPsbSWuadXAb2wheoVRkf,John Williamson,48,92699
0VE0GTaTSeeGSzrQpLmeb9,Kvelertak,42,152576
19HiWVd2g0XyJstBsbW2Qm,Fabrizio De André,59,1165056
2eFv7NVs8R6Go7msuqikeg,Pino Daniele,60,917632
2eFv7NVs8R6Go7msuqikeg,Pino Daniele,60,917632
5Pa0BjjSDSiWuak0O1PbHL,Francesco Guccini,47,423119
02tKmsUnu6UIYpTx5Wyle8,Enzo Jannacci,39,122801
16FJYC4FqKhZXiXIzMI4ul,Francesco De Gregori,55,733173
6FlxhoUGATC40TALMesaFM,Vinicio Capossela,45,271448
3gBQ1U5dXpRXS6tlbyNTDM,Elizabeth Mitchell,49,48916
6T2pk5T8c4Wi61x1v84sUa,The Laurie Berkner Band,55,71317
1KApqVthworS08PUownIe3,John Lithgow,30,1781
5G8OLQcvoCxiMQzwEcuWeN,SKE48,32,78944
7qiPN4EfYY3qZqZwaAKzN5,Comaduster,21,4244
776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,69,6506279
22WZ7M8sxp5THdruNY3gXt,The Doors,72,7608590
4rAgFKtlTr66ic18YZZyF1,Woody Guthrie,39,185432
2gCsNOpiBaMNh20jQ5prf0,Buddy Guy,52,798630
2bmixwMZXlkl2sbIbOfviq,Bo Diddley,46,308548
7EynH3keqfKUmauyaeZoxv,Luther Allison,39,75847
1aTDTChWWyiJH3SEnYrdVp,Taj Mahal,50,209500
1CPwHx5lgVxv0rfcp7UXLx,Ry Cooder,47,301248
6iDaoPZVgxrTkndDCisX8F,Keb' Mo',49,357002
5Ws3s6lSP4Un8kQf8CrAta,Susan Tedeschi,51,183579
1uFixbBAduJkFAeRKznkvW,Albert Collins,47,188947
5MPJKwuEzyWgfueKrogllD,Joe Louis Walker,31,43550
3VhvGNnWfzmlEyiuhzdgf5,Lowell Fulson,36,26011
03HEHGJoLPdARs4nrtUidr,Junior Kimbrough,37,69564
2uNcfNhlVJUyEX0t0NG1m1,Eric Bibb,40,63269
5Hc9oDGvStNGmnj44m8sHg,Tyler Ward,50,287968
5Cmht6FxXbw5GtPOCrzjNM,Charlotte Martin,25,14556
6a8DSomMqspxk3s3WlBjNT,Will Hoge,31,30380
2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,59,786714
2sG4zTOLvjKG1PSoOyf5Ej,Brandi Carlile,65,795684
2Sqr0DXoaYABbjBo9HaMkM,Sara Bareilles,64,1905695
6pwHWKweuoCyx3OoFaD0Q5,The Weepies,50,167464
1I7oHjCjMrMUz66v67yJJu,Joshua Hyslop,49,63729
7omzannyG2lfDqP5xyZo34,Joshua Radin,49,374173
0QrowybipCKUDnq5y10PD2,Amos Lee,58,467107
0FC1LIeQXKib0jOwZqeIwT,Brett Dennen,46,193282
4AapPt7H6bGH4i7chTulpI,Ben Rector,58,360553
2NQEwAVHBNcI0tGMLlWwF1,Mat Kearney,51,475954
5zeCSgiRyezbfLiGOpKAsR,Tyrone Wells,45,97591
5zzrJD2jXrE9dZ1AklRFcL,KT Tunstall,61,409229
3w6zswp5THsSKYLICUbDTZ,Gabrielle Aplin,55,673114
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,51,161554
6CmXhyslohOFRJMtPpRm4O,Ron Pope,54,248453
7FgMLbnZVrEnir95O0YujA,Five For Fighting,56,838570
5nHR37FDSU4I0QQta0AZ1C,Ross Copperman,43,45571
2Mf99N2VcDEcVuocyBLhyC,Greg Laswell,42,121957
0ekbDNE2eOq8QiaXM34wer,Howie Day,51,325733
4NGiEU3Pkd8ASRyQR30jcA,Matt Nathanson,51,370118
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,72,7104235
511NdtFxUgN1HgraPcUotf,The Perishers,31,27568
3uT7nEkZwWc2GBiqUZGoOe,Aqualung,42,66273
1fpXM23IoNckJ7NDAm8YJQ,Mark Lanegan,48,254352
27M9shmwhIjRo7WntpT9Rp,Frank Turner,53,357757
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,61,1551864
7vX3cMVyW8gtDA4y855ynF,Rodrigo y Gabriela,48,426749
1YXjrP6ByzUaTAFffbSqWS,Doble T y El Crok Los Pepes,43,7863
0d5q2y5Tl7GhVI8vuqeCxK,Wolfjay,2,799
0V3UPrVVcCxIxQU43xYDxC,Daniela Araújo,48,385896
6AyvSIi2EyLOaMJCc6J5fZ,Leonardo Gonçalves,51,793287
2Js5EdWOVgL2B2CbtXr5n1,Thalles Roberto,63,1770022
6bxqwbU9pD8GXcuSmNSSHU,Ministério Zoe,59,1385263
7FJXPSSrHgr0YDfeiQ63uk,Nívea Soares,60,1448986
6iAY2AyUZLSX3PWLIAfFZY,Fernandinho,68,4738755
5zblJYkCzvB51Jh29FB07V,Eli Soares,59,828084
5K2gAsDWIVqU9rlCyxp4jM,PG,46,375511
3KypZFGzCHTbqXAAhFuLwd,Mauro Henrique,45,115272
4ozat61UDrffL5OTOI9PSn,Amen Jr,22,45529
3vMWY1bUrmYoSoEWLiQWOZ,Glenn Frey,53,597334
6jdObwsrIjSRnBbMw6lPBj,Seals and Crofts,55,715025
3iDD7bnsjL9J4fO298r0L0,Chicago,68,3917672
59hLmB5DrdihCYtNeFeW1U,Glen Campbell,61,469836
4BoRxUdrcgbbq1rxJvvhg9,Olivia Newton-John,67,1496221
0uUNzXylqsZdmFDwdxaP1V,B.J. Thomas,51,232674
4HVmeVTQBgvTuvjB1JYwaf,Gilbert O'Sullivan,57,361644
3wYyutjgII8LJVVOLrGI0D,Buddy Holly,57,1277400
04LIHk1SobiQwt2tlupoAV,Leo Sayer,56,535135
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,50,323765
1sldhz8tzC100cRAdfnMht,Lobo,55,495754
2nvKpWcP8etYTq4JrRiUiy,Cliff Richard,55,343760
1vnIL4DMlivP55ioM6KitW,Rita Coolidge,49,240040
4ACplpEqD6JIVgKrafauzs,The Everly Brothers,59,910668
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,62,584775
5N6GwJzOcOY5kv8p0NjhYL,Neil Sedaka,56,507301
0JDkhL4rjiPNEp92jAgJnS,Roy Orbison,66,1936461
3CDKmzJu6uwEGnPLLZffpD,Frankie Valli,63,276608
1FqqOl9itIUpXr4jZPIVoT,The Drifters,60,509550
7ceUfdWq2t5nbatS6ollHh,Paul Anka,61,670063
4FtSnMlCVxCswABUmdhwpm,Carly Simon,63,1105969
7mEIug7XUlQHikrFxjTWes,Neil Diamond,66,2647666
319yZVtYM9MBGqmSQnMyY6,Carole King,61,1493987
3cgO5CdhEHKMxldjZlP5ix,Frankie Laine,40,91722
6SQKNCUKIWjR1pQ1U3PZZq,Johnnie Ray,41,49175
1YAtBHWaWzZnkaoSFHGTBV,Guy Mitchell,38,30124
2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,61,890519
6KWcxMWVNVIYbdOQyJtsSy,The Platters,59,737864
15FyiY3ChN0QRspHIQYq0W,Dion,56,197015
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,68,371180
3EY5DxGdy7x4GelivOjS2Q,Connie Francis,53,423899
3MFp4cYuYtTZe3d3xkLLbr,Bill Haley & His Comets,52,306792
5ZEAzHE2TzAwUcOj6jMIgf,Donny Osmond,53,103074
3alW3LYQS8K29z8C8NSLIX,Barry Manilow,63,1605763
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,54,713488
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,57,727259
6ltcwvni6HdZAJaWhmIvNR,Gino Vannelli,48,183442
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,68,2594593
1sXbwvCQLGZnaH0Jp2HTVc,Linda Ronstadt,61,906467
1gRNBaI4yn6wCCTvRhGWh8,Don McLean,63,942811
0W498bDDNlJIrYMKXdpLHA,Roberta Flack,62,944597
5BmXbfqAgfkuTkPlVQDKOW,David Gates,46,194361
75L9s8KVrhCNtBUkZFnDFW,Vanessa Williams,50,469718
3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop,51,246287
6kEsKkXuE4olX7m3mNLZkS,Art Garfunkel,48,561777
7jmTilWYlKOuavFfmQAcu6,Barbra Streisand,63,1448449
4N8BwYTEC6XqykGvXXlmfv,George Benson,63,758271
3gMaNLQm7D9MornNILzdSl,Lionel Richie,69,3401550
1eEfMU2AhEo7XnKgL7c304,Carpenters,68,3067719
5dcOK4stT4JDkP6Dqhbz5s,Sheena Easton,55,659931
13y0kncDD4J9wxCyfKr10W,Bette Midler,55,735439
5xWPOujQqd4wXyB08slZ9Z,Peter Cetera,60,950957
6YHEMoNPbcheiWS2haGzkn,Michael Bolton,63,2040545
7Hd38PVp634oGEb9pIDs5d,Barry Gibb,51,136772
4C3uGP8vRDzxrhJxZiOjTe,Tiffany,55,399556
0JxChc2w5fwTGbXKfc4cRd,Patti Austin,51,215039
07CTbCcLVHYwZqp1YMdf4t,Angela Bofill,43,173508
5bTTx0CRvZj1kRJwUsWWYo,James Ingram,57,598840
49iKbKGqgn8OESkW5WduX0,Peabo Bryson,59,521914
3YR92OLKlvkK5oKNekSqXe,Al Jarreau,51,377019
6hGL5amK9JGLOa3PNydScE,Mansour,40,52140
4VE8VoX8eVfwfVSuikRyxE,Arno Carstens,26,29695
0FrkoXLOCHCWfMXw10Apxb,Die Heuwels Fantasties,45,142845
0vevzNDJEuDySBGxIPWcHZ,Bok Van Blerk,45,267473
4INPDZ7XS2f8jsp7CMM6WW,Jan Blohm,36,68221
5HZFQNs0MnrxxtU7dvi4Te,Bouwer Bosch,27,30504
05RbDB13aoIZwFzHqe8ehO,Robbie Wessels,39,183178
7IekiVzQZp0E1FeVc28CdN,Chris Chameleon,27,26063
1x6N4tQft8TwRuhOfRUgWC,Karen Zoid,32,71909
77uOOA6zRJBwYTrgsOst0B,David Kramer,25,9715
24TpZ86w1RuD6QqhJQn3Wg,Anton Goosen,26,16898
5qjFnZtFKlvPy31AGKOJ0L,Nianell,18,5631
7InRTzNUMqGpotAZML0VVD,Juluka,22,9191
3MGKwPbzEu5ZFlDAJA75uD,Louise Carver,18,4264
1JvTUHnkJ8yiTQfOKDdArt,Majozi,31,17115
184sdcjHnD6iVWbPEhxJoC,CrashCarBurn,13,3623
2zzOTg1SHx5vuqgcexJRxA,Jack Parow,42,78775
6urkHDoIVO1WO8vNIwcJmM,Die Antwoord,58,1678373
1jldLaOPqF1tSIqeHruozt,Shortstraw,27,27335
0mWmaYz3c8Y6aidiFPu3kN,Van Pletzen,34,27263
4UDaVZj9eMOfZFEGrcrwqv,Jesse Clegg,28,11942
06n2L3n25Mtz9TYwuG39NJ,Jaded Jane,1,310
5k03Uokr2zWNt3IFdKHnyf,Neblina,36,1269
5a111cSPcXfRJAbY2MdtLS,Tweak,12,4053
37ZflmHTdxkSLQuT8w9NBs,Criolo,58,1034706
2d9LRvQJnAXRijqIJDDs2K,Emicida,61,1839882
1OgaghfYd1qr8DFoNrfDNk,Sinergia,36,119259
0klcoRwPQF1GMv8FrA7F8V,Leæther Strip,27,25818
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,59,1603325
6FbDoZnMBTdhhhLuJBOOqP,Jewel,56,754912
2dIP3oiEt0xB8CrfSqN9Og,Corb Lund,49,80674
5sQqZtsAbXAoAnvA8iN9kN,High Valley,50,146453
1w9VjfHGE5qPLJQy3dKups,Gord Bamford,39,59718
1Yox196W7bzVNZI7RBaPnf,Megadeth,69,5113327
3JysSUOyfVs1UQ0UaESheP,Anthrax,55,1607386
4x1nvY2FN8jxqAFA0DA02H,John Lennon,70,5815679
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,70,3935879
0543y7yrvny4KymoaneT4W,Peter Frampton,55,1230766
67ea9eGLXYMsO2eYQRui3w,The Who,67,5243868
0cQuYRSzlItquYxsQKDvVc,The Guess Who,54,691869
3v4feUQnU3VEUqFrjmtekL,Faces,54,398849
0nCiidE5GgDrc5kWN3NZgZ,"Emerson, Lake & Palmer",49,1046847
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,63,988018
2FcC4sDMXme2ziI7tGKMK8,David Gilmour,52,1812881
2utNxkLhreF1oIfO8kQT3q,Manfred Mann's Earth Band,54,417308
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,53,349218
7tjbDPvrdvDshcpEMXKRVb,Gerry Rafferty,59,331089
5RNFFojXkPRmlJZIwXeKQC,Bryan Ferry,57,579556
5gxynDEKwNDgxGJmJjZyte,Steve Winwood,57,1018578
35U9lQaRWSQISxQAB94Meo,America,67,1696681
0GByy3DcfbQwDvXGCWmzv9,Pretenders,63,1466801
4salDzkGmfycRqNUbyBphh,Styx,60,1896548
7C4sUpWGlTy7IANjruj02I,Peter Gabriel,64,1666047
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,78,19854100
7AC976RDJzL2asmZuz7qil,Yes,59,1842199
40DqL6Tv84cKT2pH2NMs9r,Roger Waters,52,1489159
0ifzzRKdmtgaHy9cfnnyCR,Focus,44,199491
5MwQBuYuEnf6hLsupDJ0Um,Keith Emerson,23,84305
562Od3CffWedyz2BbeYWVn,Mike Oldfield,58,598445
6IFXsrXBpwbIqtOUOiAa3p,Rick Springfield,59,810590
0f3EsoviYnRKTkmayI3cux,Men At Work,66,1195658
6DbJi8AcN5ANdtvJcwBSw8,Ringo Starr,48,926926
7FIoB5PHdrMZVC3q2HE5MS,George Harrison,66,2590503
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,72,4632625
5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,73,7505853
2tRsMl4eGxwoNabM08Dm4I,Judas Priest,66,3916911
6ZLTlhejhndI4Rh53vYhrY,Ozzy Osbourne,71,5229841
4gIdjgLlvgEOz7MexDZzpM,Status Quo,58,765435
55bGuHb50r5c0PeqqMeNBV,Jimmy Page,40,525955
0AD4odMWVQ2wUSlgxOB5Rl,Jeff Beck,54,732393
23wr9RJZg0PmYvVFyNkQ4j,Gary Moore,56,659749
4vpDg7Y7fU982Ds30zawDA,The Band,59,1074258
3JaAGmSTpJK35DqWrDUzBz,Sweet,55,445393
